0.5955746227367298
0.4617302229284029
0.6898741060989206
0.6544392241803177 # 20 1
0.6390477059550267 # 100 5
0.5925705265072937 # 10 3
0.6748877265039582 # 10 3 MCTS
0.6449683471862759 # 100 5 MCTS
0.6395351188354199 # 10 5 MCTS
0.6543624013754556 # 300 10 A
0.6506541839927754 # 300 10 MCTS old
0.657634948290273  # 300 10 A
0.646938968895838  # 300 10 MCTS old
0.6709260913441164 # 300 10 MCTS new
0.6679784569661686 # 300 10 MCTS new
